training/action_critic/adv,training/action_critic/critic_loss,training/action_critic/q_max,training/action_critic/q_mean,training/action_critic/q_min,training/action_critic/v_max,training/action_critic/v_mean,training/action_critic/v_min,training/action_critic/value_loss,training/actor/bc_flow_loss,training/chunk_critic/critic_loss,training/chunk_critic/q_logit_max,training/chunk_critic/q_logit_mean,training/chunk_critic/q_logit_min,training/chunk_critic/q_max,training/chunk_critic/q_mean,training/chunk_critic/q_min,training/goal_proposer/goal_proposer_loss,training/grad/max,training/grad/min,training/grad/norm,validation/action_critic/adv,validation/action_critic/critic_loss,validation/action_critic/q_max,validation/action_critic/q_mean,validation/action_critic/q_min,validation/action_critic/v_max,validation/action_critic/v_mean,validation/action_critic/v_min,validation/action_critic/value_loss,validation/actor/bc_flow_loss,validation/chunk_critic/critic_loss,validation/chunk_critic/q_logit_max,validation/chunk_critic/q_logit_mean,validation/chunk_critic/q_logit_min,validation/chunk_critic/q_max,validation/chunk_critic/q_mean,validation/chunk_critic/q_min,validation/goal_proposer/goal_proposer_loss,time/epoch_time,time/total_time,step
-0.00026952743,0.18102835,0.9960723,0.49231085,0.16482498,0.9951513,0.5006082,0.18460163,0.026468303,0.5192619,0.47272226,6.3515553,0.3407353,-1.7504903,0.998259,0.47356412,0.14798535,0.75241816,2.8598514,-2.7251284,51.590027,0.0028762142,0.1744643,0.9958969,0.56590825,0.1572936,0.9947622,0.5709332,0.17313835,0.031208329,0.50572264,0.41977692,6.202018,0.85319465,-1.7923013,0.99797875,0.5532566,0.14279081,0.83728206,0.031932278394699094,989.0275628566742,11000
-0.0011595809,0.17944376,0.99463034,0.48753268,0.14412805,0.99296427,0.48997635,0.16241857,0.027212774,0.49849448,0.47339568,6.2441983,0.27029148,-1.8859615,0.9980621,0.46825573,0.13170561,0.6911999,3.2926009,-3.1084137,52.420563,0.0026858652,0.19992204,0.9949052,0.4809154,0.14654349,0.9931471,0.47851926,0.15810275,0.031055234,0.49067202,0.46895382,6.624452,0.30683017,-1.8873707,0.9986742,0.46910253,0.13154455,0.74254394,0.03189969253540039,1020.9272849559784,12000
-0.0013109404,0.13789164,0.99507517,0.50877887,0.1554345,0.9950456,0.5068727,0.16346191,0.032236196,0.51368356,0.45873109,6.617034,0.43736663,-1.8217208,0.9986644,0.48440394,0.13922751,0.62444806,1.8674335,-1.3988603,34.51335,-0.0010539487,0.1795828,0.99499947,0.4964191,0.14809915,0.9941882,0.49795473,0.15498541,0.03367684,0.50805235,0.49523306,6.4649096,0.28867736,-1.7956791,0.99844533,0.47697717,0.14237785,0.6405691,0.03190174961090088,1052.829059123993,13000
-0.0040043374,0.1566006,0.99502236,0.5573519,0.15307014,0.9947935,0.56627315,0.15533464,0.033221148,0.43033588,0.43126684,6.9590263,0.8170666,-1.829917,0.9990509,0.540376,0.13824816,0.6506946,1.6239445,-1.0449473,32.22245,-0.000909727,0.17091708,0.99431247,0.5438685,0.15164414,0.9945426,0.5501829,0.15647547,0.032971114,0.5044858,0.43421498,6.5871506,0.738997,-1.8624974,0.99862397,0.5290465,0.13441221,0.6156364,0.0318758327960968,1084.7049164772034,14000
-0.0011085428,0.14557122,0.9964701,0.5393509,0.14588465,0.9951797,0.5319694,0.1495922,0.02827007,0.45570457,0.45694137,6.739903,0.5905053,-1.8412644,0.9988186,0.51289374,0.13690183,0.77481574,2.515415,-2.7433307,49.820107,-0.0017421378,0.12539224,0.99744654,0.5306892,0.14773022,0.9962987,0.5196402,0.1500594,0.029372096,0.4624313,0.45478955,7.209464,0.55158055,-1.9675214,0.99926096,0.4908324,0.12265536,0.74519515,0.031832077026367187,1116.5370163917542,15000
0.0034340683,0.15624897,0.9973308,0.5268548,0.13768633,0.99478376,0.5183617,0.1421786,0.027340936,0.51158583,0.43362656,6.621831,0.5368337,-1.8835536,0.9986708,0.5012459,0.13198122,0.6901648,1.7177441,-1.6427495,34.600563,0.0010190578,0.15802275,0.9972698,0.49147138,0.13728063,0.99467456,0.48636177,0.14546633,0.026473653,0.49690777,0.451081,6.37075,0.26782283,-1.9236473,0.998292,0.46802503,0.1274554,0.66154027,0.03180887293815613,1148.3459105491638,16000
0.0006691587,0.14695764,0.99641055,0.48066607,0.1292188,0.99567336,0.48336804,0.14350131,0.023088621,0.47140813,0.47481394,6.932324,0.23450108,-1.9948719,0.9990252,0.45392743,0.11974239,0.5519609,1.0724525,-1.0001167,28.362999,-0.0015077288,0.13794723,0.9958893,0.53269094,0.1311823,0.99469614,0.54036695,0.15182242,0.030604297,0.5001441,0.43681747,6.5405593,0.6491335,-1.9309688,0.99855846,0.5105743,0.12664339,0.6783664,0.031784888982772826,1180.1308233737946,17000
0.0012322922,0.14618798,0.9966532,0.5070793,0.12907599,0.9955,0.5024901,0.14283113,0.030010562,0.48829132,0.45895863,6.354613,0.43022108,-2.0727525,0.9982644,0.48657614,0.11177348,0.61782813,2.053472,-2.0116665,30.325253,-0.0006861386,0.13922352,0.99687505,0.52755433,0.12383881,0.9953749,0.53058934,0.13678932,0.032235958,0.46623266,0.43879634,6.563763,0.59412163,-2.0680392,0.99859136,0.50370926,0.11224227,0.61508685,0.03176688313484192,1211.8977327346802,18000
-0.0039908974,0.15285328,0.99642164,0.514769,0.13886733,0.994923,0.51813173,0.1441668,0.029066164,0.5071131,0.4357644,6.8533173,0.5876994,-1.998505,0.9989452,0.49636695,0.119359985,0.6268829,1.2359455,-1.1391026,27.026035,-0.0014257699,0.15088753,0.99695987,0.52548265,0.1276674,0.9956238,0.5283909,0.13635035,0.034839723,0.46517748,0.416714,6.828479,0.6776729,-1.980893,0.9989186,0.50939983,0.12122367,0.64549494,0.03178650403022766,1243.6842591762543,19000
0.0035654893,0.21915476,0.9963282,0.49771538,0.13652958,0.9960442,0.50500536,0.13128425,0.028393246,0.47376066,0.42685196,6.648938,0.5931207,-1.9292288,0.9987062,0.49577913,0.12683597,0.46614856,0.89156216,-1.4624434,27.960974,-0.00079448085,0.19304365,0.9971089,0.5122425,0.14049655,0.99549246,0.518597,0.14012934,0.02918246,0.46812907,0.43096238,6.8906555,0.714097,-1.9393847,0.9989838,0.50858957,0.12571546,0.6265885,0.03172569298744202,1275.4099776744843,20000
-0.0004354511,0.17505781,0.99668187,0.4997594,0.12239062,0.9962124,0.50139016,0.1325524,0.0254228,0.5144266,0.41051617,6.955188,0.49356937,-2.0450325,0.9990472,0.48879883,0.11455528,0.60553086,3.833342,-4.0204315,55.46815,-0.00039956265,0.1646621,0.99672204,0.53411865,0.1159882,0.9953676,0.53491277,0.1262489,0.026416061,0.49049318,0.42846346,6.8018184,0.6050934,-2.0325027,0.9988895,0.5123023,0.11583237,0.48981085,0.0316923611164093,1307.1023705005646,21000
-0.00040571566,0.18677951,0.9964102,0.51729417,0.12016725,0.9941729,0.5168291,0.12975468,0.028791362,0.43720722,0.45427212,6.6565466,0.5075101,-2.0440893,0.9987161,0.5009658,0.11465099,0.6132825,1.3325447,-1.1306589,26.22032,-0.004656815,0.1579676,0.9972383,0.51107883,0.111165434,0.9955521,0.5119934,0.123928264,0.032187413,0.4144408,0.4170189,6.7623916,0.5410804,-2.0897934,0.99884486,0.49018535,0.11009281,0.51437557,0.03170894360542297,1338.8113417625427,22000
-0.0024039904,0.13914333,0.99728537,0.49631262,0.12690653,0.99532145,0.5035598,0.13574792,0.028510734,0.43472055,0.41699716,6.8070736,0.47076598,-2.1121502,0.9988953,0.47584602,0.10792149,0.4753927,1.7526425,-2.0802295,32.57769,-0.00012010959,0.16238375,0.9972065,0.5309521,0.12127062,0.99600464,0.5390911,0.13376157,0.02775852,0.40283954,0.40912428,6.8827896,0.7802996,-2.1235948,0.9989757,0.51897806,0.10682459,0.50643617,0.03166726803779602,1370.4786388874054,23000
-0.00089640135,0.2153255,0.9985495,0.49410978,0.11894425,0.99681795,0.50230277,0.11875551,0.023634473,0.4192081,0.4111579,7.5029736,0.69110674,-2.102028,0.99944884,0.49427778,0.10889988,0.4937923,1.7608454,-0.9978296,23.790997,-0.0028317776,0.18933828,0.9978483,0.50219643,0.12138367,0.99556285,0.50876194,0.11779615,0.02800294,0.48418102,0.43237334,7.093103,0.6348628,-2.032635,0.9991699,0.49155766,0.115818806,0.5236819,0.03167868161201477,1402.1573493480682,24000
0.0034439485,0.13164145,0.99776554,0.4891599,0.121891044,0.99584085,0.47668064,0.12563242,0.02553829,0.4882059,0.44435483,6.6948605,0.29571754,-2.1930678,0.9987643,0.4609953,0.100374736,0.5748738,3.7652528,-3.6695395,58.95109,0.002000789,0.124327086,0.9975902,0.55814266,0.1250226,0.9968535,0.5495722,0.13181329,0.029538557,0.43689975,0.41318083,6.677123,0.83745474,-2.0973353,0.9987421,0.53362864,0.10935608,0.65921235,0.03166677904129028,1433.824158668518,25000
-0.0003679291,0.16085912,0.9977697,0.501626,0.11938492,0.9961361,0.50189734,0.12336484,0.030844301,0.4685846,0.42596552,6.958605,0.525985,-2.1904318,0.99905044,0.48668718,0.100613005,0.58921534,1.8844347,-1.6893313,31.61754,-0.0028183304,0.15620486,0.9976915,0.4757714,0.11595639,0.99577373,0.47796565,0.12396265,0.025472393,0.4460919,0.4450899,6.91451,0.25629172,-2.2556312,0.9990077,0.45153472,0.09486483,0.5348788,0.03165564894676209,1465.4798352718353,26000
-0.0024690041,0.21706994,0.99748707,0.49270016,0.09963085,0.99672145,0.50388783,0.117584735,0.027816933,0.4698283,0.44176713,6.6415725,0.5049397,-2.2481494,0.9986967,0.4861656,0.095509216,0.500696,1.8209531,-1.9229636,35.837296,-0.00044421357,0.18889624,0.9974484,0.5023011,0.10551609,0.9963079,0.50899583,0.12093375,0.03137105,0.44951996,0.42450306,6.5220413,0.609991,-2.2564654,0.99853146,0.49413285,0.09479322,0.48356724,0.03162320590019226,1497.1030657291412,27000
0.001803017,0.14440463,0.9981571,0.5215258,0.1201006,0.99583673,0.518656,0.12004614,0.024377331,0.4587619,0.40037695,6.641786,0.6716522,-2.141527,0.9986969,0.5030826,0.10512565,0.5727643,4.4744253,-3.8546796,57.902405,0.0034449822,0.13512634,0.99856013,0.4884498,0.11891642,0.99674976,0.48169273,0.120138526,0.024700034,0.40706223,0.45190904,6.6041207,0.28010893,-2.1306727,0.99864703,0.45755157,0.10615114,0.58208317,0.03164466214179993,1528.747756242752,28000
-0.0010564523,0.13240765,0.9980952,0.5035524,0.118979946,0.9963239,0.49817014,0.117608316,0.02695058,0.3969115,0.4507477,6.6466312,0.4306018,-2.240751,0.99870324,0.47917852,0.09615026,0.48422664,2.6078768,-2.7028549,43.788906,0.0009908514,0.13301282,0.9982181,0.4996592,0.122943446,0.99643254,0.49250543,0.12148979,0.027719727,0.45744604,0.4292186,6.5991673,0.3134888,-2.1311111,0.99864036,0.46841583,0.106109545,0.49125248,0.03161866688728333,1560.366447687149,29000
0.0002460312,0.1468727,0.9969482,0.4957038,0.09976701,0.9961474,0.49884138,0.10548612,0.027663173,0.44078672,0.43573856,7.3353972,0.40554014,-2.241695,0.99934834,0.4704597,0.096068256,0.5810355,2.9788282,-3.211384,46.6763,-0.0018173347,0.16087344,0.99789375,0.4774488,0.10236579,0.9966815,0.48568052,0.10897888,0.027980492,0.4460913,0.43078908,7.37481,0.34504798,-2.2992287,0.99937356,0.46245575,0.091186866,0.4796525,0.031653764963150026,1592.020238161087,30000
-0.0004606442,0.15282086,0.9970715,0.50715464,0.110181846,0.996682,0.5053741,0.108339414,0.026476737,0.40392607,0.44348335,6.6615763,0.41014424,-2.3552167,0.9987225,0.48647556,0.08665201,0.40239444,1.4293008,-1.3633461,24.845226,-0.0015990442,0.1584452,0.9970279,0.5245473,0.107196055,0.99550426,0.52728593,0.10956521,0.039678507,0.45892525,0.41398087,6.487358,0.59539366,-2.235486,0.9984798,0.50312084,0.09660878,0.50399315,0.031618502378463746,1623.6387763023376,31000
